user_id,discovered,passed,started_attempt,viewed,correct,wrong,num_days
1,1,0,0,1,0,0,1
2,9,9,2,9,2,0,1
3,15,15,4,20,4,4,1
5,1,1,0,1,0,0,1
7,1,1,0,1,0,0,1
8,109,84,37,154,9,21,1
9,3,3,0,4,0,0,1
11,1,0,1,1,0,0,1
14,4,3,1,9,0,1,1
16,50,49,21,117,18,23,2
17,6,5,1,13,0,2,1
18,3,2,0,3,0,0,1
20,10,8,0,13,0,0,1
22,43,41,19,74,15,9,2
24,1,1,0,2,0,0,1
25,26,20,10,40,1,4,2
26,27,25,7,32,7,16,2
28,1,1,0,2,0,0,1
30,9,9,2,15,2,0,2
31,27,24,7,34,4,5,2
32,14,13,4,14,3,0,1
33,4,3,1,4,0,0,1
34,24,24,10,37,9,4,2
36,1,1,0,1,0,0,1
37,1,1,0,1,0,0,1
38,1,0,0,1,0,0,1
39,13,12,2,16,2,0,2
41,3,1,0,5,0,0,1
42,1,1,0,1,0,0,1
43,60,45,7,66,6,3,2
44,11,11,2,16,2,0,1
46,24,24,8,24,8,2,1
47,10,8,0,12,0,0,1
48,1,0,0,1,0,0,1
49,9,9,2,9,2,0,1
50,11,11,2,11,2,0,1
51,1,0,0,2,0,0,1
52,1,0,0,2,0,0,2
53,12,6,7,17,0,0,1
54,9,9,2,9,2,0,1
56,1,1,0,1,0,0,1
57,25,24,9,34,8,8,3
59,1,1,0,1,0,0,1
60,27,24,2,28,2,0,2
63,23,23,11,23,8,3,1
64,3,3,0,3,0,0,1
65,9,7,0,9,0,0,1
66,9,9,2,15,2,0,1
67,50,45,22,122,15,27,2
68,6,6,4,8,2,2,1
69,5,4,0,5,0,0,1
70,6,6,2,7,2,0,1
71,3,3,0,3,0,0,1
73,11,11,2,16,2,0,1
75,10,10,2,15,2,0,2
76,70,65,9,122,2,1,3
77,2,0,2,3,0,0,1
78,11,11,2,13,2,0,1
79,1,1,0,1,0,0,1
80,130,129,16,168,15,3,1
82,1,1,0,2,0,0,1
85,1,0,1,1,0,0,1
86,1,0,1,3,0,0,1
87,1,1,0,1,0,0,1
88,3,1,0,3,0,0,1
89,23,23,8,26,8,3,2
91,28,28,11,85,11,9,3
94,13,12,2,16,2,0,2
95,20,19,8,26,5,4,1
96,10,10,2,14,2,0,1
97,9,9,5,16,2,3,1
100,27,27,14,39,9,5,1
101,6,6,2,6,2,0,1
103,3,3,0,4,0,0,1
104,9,9,3,12,2,0,1
106,1,0,0,2,0,0,1
108,11,11,2,15,2,0,1
110,1,1,0,1,0,0,1
111,25,25,10,53,9,10,1
114,1,1,0,1,0,0,1
115,22,21,10,30,8,1,1
116,2,2,0,2,0,0,1
117,1,0,1,1,0,0,1
118,1,1,0,1,0,0,1
120,10,10,2,10,2,0,1
121,10,8,2,13,0,0,1
123,15,11,0,19,0,0,1
125,4,4,0,5,0,0,1
126,1,1,0,2,0,0,1
127,15,15,5,15,4,3,1
128,1,1,0,1,0,0,1
129,9,9,2,15,2,0,3
130,9,9,2,10,2,0,1
131,5,2,0,8,0,0,2
132,3,3,0,4,0,0,1
133,25,23,11,40,6,24,1
134,18,17,0,18,0,0,1
135,2,2,0,3,0,0,1
137,1,0,0,1,0,0,1
138,25,25,9,25,9,7,2
139,2,2,0,2,0,0,1
142,3,2,1,5,0,0,1
144,12,12,2,12,2,0,1
145,125,110,0,147,0,0,2
146,1,1,0,1,0,0,1
147,42,29,3,48,0,0,1
148,7,4,2,10,0,0,1
149,1,1,0,1,0,0,1
151,1,1,0,4,0,0,1
152,11,11,4,12,2,2,1
154,5,5,0,6,0,0,1
156,10,10,2,10,2,0,1
157,32,32,10,75,10,5,2
158,2,2,0,2,0,0,1
160,2,1,0,2,0,0,1
161,1,1,0,1,0,0,1
163,1,1,0,1,0,0,1
166,10,10,2,19,2,0,1
168,28,28,11,31,11,3,2
169,4,4,1,5,1,0,1
170,1,0,0,1,0,0,1
171,8,7,7,12,1,9,3
172,4,3,0,4,0,0,1
173,3,1,0,3,0,0,1
175,13,12,15,35,3,0,2
176,8,8,2,8,2,0,1
178,11,9,1,11,0,0,1
179,2,2,1,2,1,0,1
181,1,0,1,1,0,0,1
182,1,1,0,2,0,0,1
183,61,61,32,136,27,23,3
184,13,12,3,13,2,0,1
187,1,1,0,1,0,0,1
188,7,7,0,7,0,0,2
189,1,1,0,1,0,0,1
190,1,1,0,1,0,0,1
191,7,5,2,9,0,0,1
192,6,8,3,6,3,0,1
193,41,40,16,55,15,12,3
194,2,2,0,2,0,0,1
196,10,10,2,11,2,0,1
197,10,8,2,14,0,0,1
199,1,0,1,1,0,0,1
201,1,1,0,1,0,0,1
202,127,127,61,225,52,54,3
203,1,0,0,1,0,0,1
209,1,1,0,1,0,0,1
210,1,0,0,1,0,0,1
211,2,0,1,2,0,0,1
214,4,2,1,5,0,0,1
215,40,39,15,44,15,6,2
216,1,1,0,1,0,0,1
219,13,12,2,25,2,0,2
220,17,17,5,38,5,2,2
221,1,0,1,1,0,0,1
222,1,1,0,1,0,0,1
223,10,10,2,10,2,0,1
224,3,3,0,5,0,0,1
225,14,13,3,20,3,0,2
226,54,52,30,114,26,23,1
227,35,35,13,40,13,1,3
228,3,3,0,3,0,0,1
229,41,40,17,54,15,9,3
230,11,11,2,11,2,0,1
231,65,65,29,68,28,13,2
232,13,13,2,13,2,0,1
233,1,1,0,1,0,0,1
238,1,0,0,1,0,0,1
239,12,12,2,17,2,0,2
240,21,19,5,27,5,6,1
243,2,2,0,2,0,0,1
244,1,1,0,1,0,0,1
245,2,2,0,2,0,0,1
246,12,14,2,14,2,0,1
247,31,27,4,32,0,0,1
249,10,7,0,10,0,0,1
250,31,30,13,58,11,32,2
251,93,93,39,107,37,18,2
252,1,1,0,1,0,0,1
254,1,1,0,1,0,0,1
255,2,2,0,2,0,0,1
256,1,0,0,1,0,0,1
257,1,0,1,1,0,0,1
258,4,4,1,4,1,0,1
259,7,6,1,13,1,0,1
262,1,1,0,1,0,0,1
263,43,43,17,52,17,4,3
264,9,8,6,10,1,4,1
265,1,1,0,1,0,0,1
266,3,2,0,4,0,0,1
267,1,1,0,1,0,0,1
268,3,1,2,3,0,0,1
270,3,3,0,3,0,0,1
272,1,1,0,1,0,0,1
274,1,1,0,1,0,0,1
275,11,9,1,15,0,0,1
277,8,8,2,19,2,0,1
278,1,1,0,1,0,0,1
279,21,19,4,33,4,0,2
280,1,0,1,1,0,0,1
281,118,108,0,206,0,0,1
282,10,10,2,15,2,0,1
284,41,40,16,48,15,1,3
285,1,0,0,1,0,0,1
286,9,6,3,9,0,0,1
287,34,23,19,39,3,6,2
290,9,9,2,26,2,0,2
291,13,11,2,21,0,0,1
293,1,1,0,1,0,0,1
294,9,9,2,9,2,0,1
295,21,21,7,23,7,3,2
296,11,11,2,11,2,0,2
297,9,9,4,11,3,1,1
299,42,40,20,58,15,15,2
300,1,0,0,1,0,0,1
301,8,8,2,15,2,0,2
302,10,10,2,11,2,0,2
305,1,1,0,2,0,0,1
307,4,4,1,4,1,0,1
309,2,1,1,4,0,0,2
